"MSSubClass","MSZoning","LotArea","LotShape","LandContour","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageCars","GarageArea","GarageQual","PavedDrive","MoSold","YrSold","SalePrice"
70,"C (all)",8500,"Reg","Lvl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",4,"Fa","BrkTil",4,"TA","Unf","Unf",649,649,"GasA","TA","N","SBrkr",649,668,0,1317,0,0,1,0,3,1,4,6,"Typ",0,"Detchd",1,250,"TA","N",7,2008,40000
20,"RL",8544,"IR1","Lvl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",4,"TA","CBlock",4,"TA","Unf","Unf",1228,1228,"GasA","Gd","Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,3,6,"Typ",0,"Attchd",1,271,"TA","Y",6,2008,149350
20,"RL",11049,"Reg","Lvl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",1,"TA","Unf","Unf",1234,1234,"GasA","Ex","Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,3,7,"Typ",0,"Attchd",2,484,"TA","Y",1,2008,179900
20,"RL",10552,"IR1","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",4,"TA","CBlock",4,"TA","Rec","Unf",380,1398,"GasA","Gd","Y","SBrkr",1700,0,0,1700,0,1,1,1,4,1,3,6,"Typ",1,"Attchd",2,447,"TA","Y",4,2010,165500
120,"RL",7313,"Reg","Lvl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",1,"TA","PConc",1,"TA","GLQ","Unf",408,1561,"GasA","Ex","Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,1,6,"Typ",1,"Attchd",2,556,"TA","Y",8,2007,277500
60,"RL",13418,"Reg","Lvl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",3,"TA","PConc",1,"TA","Unf","Unf",1117,1117,"GasA","Ex","Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,3,9,"Typ",1,"BuiltIn",3,691,"TA","Y",9,2006,309000
20,"RL",10859,"Reg","Lvl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","PConc",3,"TA","Unf","Unf",1097,1097,"GasA","Ex","Y","SBrkr",1097,0,0,1097,0,0,1,1,3,1,4,6,"Typ",0,"Attchd",2,672,"TA","Y",6,2009,145000
20,"RL",8532,"Reg","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",4,"TA","CBlock",4,"TA","Rec","Unf",84,1297,"GasA","Gd","Y","SBrkr",1297,0,0,1297,0,1,1,0,3,1,4,5,"Typ",1,"Attchd",2,498,"TA","Y",10,2009,153000
20,"RL",7922,"Reg","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,7,1953,2007,"Gable","CompShg","VinylSd","VinylSd","None",4,"Gd","CBlock",4,"TA","GLQ","Unf",326,1057,"GasA","TA","Y","SBrkr",1057,0,0,1057,1,0,1,0,3,1,3,5,"Typ",0,"Detchd",1,246,"TA","Y",1,2010,109000
90,"RL",6040,"Reg","Lvl","Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",4,"TA","PConc",3.26141953619115,NA,NA,NA,0,0,"GasA","TA","N","FuseP",1152,0,0,1152,0,0,2,0,2,2,2,6,"Typ",0,NA,0,0,NA,"N",6,2008,82000
20,"RL",8658,"Reg","Lvl","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",4,"TA","CBlock",4,"TA","Rec","Unf",445,1088,"GasA","Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,4,6,"Typ",1,"Attchd",2,440,"TA","Y",12,2006,160000
20,"RL",16905,"Reg","Lvl","Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",4,"Gd","CBlock",4,"TA","BLQ","Unf",383,1350,"GasA","Gd","Y","SBrkr",1328,0,0,1328,0,1,1,1,2,1,4,5,"Typ",2,"Attchd",1,308,"TA","P",7,2007,170000
85,"RL",9180,"IR1","Lvl","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",4,"TA","CBlock",3,"TA","ALQ","LwQ",0,840,"GasA","Gd","Y","SBrkr",884,0,0,884,1,0,1,0,2,1,3,5,"Typ",0,"Attchd",2,504,"TA","Y",12,2007,144000
20,"RL",9200,"IR1","Lvl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd","None",4,"TA","CBlock",3,"TA","LwQ","BLQ",167,938,"GasA","TA","Y","SBrkr",938,0,0,938,1,0,1,0,3,1,4,5,"Typ",0,"Detchd",1,308,"TA","Y",7,2008,130250
20,"RL",7945,"Reg","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",4,"TA","CBlock",4,"TA","ALQ","BLQ",465,1150,"GasA","Ex","Y","FuseA",1150,0,0,1150,1,0,1,0,3,1,4,6,"Typ",0,"Attchd",1,300,"TA","Y",5,2006,141000
120,"RL",7658,"Reg","Lvl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",1,"TA","PConc",1,"TA","GLQ","Unf",1296,1752,"GasA","Ex","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,1,6,"Typ",1,"Attchd",2,576,"TA","Y",2,2010,319900
50,"RL",12822,"IR1","Lvl","Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",1,"TA","GLQ","Unf",83,1434,"GasA","Ex","Y","SBrkr",1518,631,0,2149,1,0,1,1,1,1,3,6,"Typ",1,"Attchd",2,670,"TA","Y",8,2009,239686
20,"FV",11096,"Reg","Lvl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",3,"TA","GLQ","Unf",1632,1656,"GasA","Ex","Y","SBrkr",1656,0,0,1656,0,0,2,0,3,1,3,7,"Typ",0,"Attchd",3,826,"TA","Y",7,2007,249700
190,"RM",4456,"Reg","Lvl","OldTown","Norm","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","BrkTil",4,"TA","Unf","Unf",736,736,"GasA","Gd","Y","SBrkr",736,716,0,1452,0,0,2,0,2,3,4,8,"Typ",0,NA,0,0,NA,"N",6,2009,113000
20,"RL",7742,"Reg","Lvl","Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard","None",4,"TA","CBlock",4,"TA","BLQ","Unf",192,955,"GasA","Ex","Y","SBrkr",955,0,0,955,1,0,1,0,3,1,4,6,"Typ",0,"Attchd",1,386,"TA","Y",1,2007,127000
60,"RL",13869,"IR2","Lvl","Gilbert","Norm","Norm","1Fam","2Story",6,6,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","PConc",3,"TA","GLQ","Unf",612,794,"GasA","Gd","Y","SBrkr",794,676,0,1470,0,1,2,0,3,1,4,6,"Typ",0,"Attchd",2,388,"TA","Y",7,2007,177000
50,"RM",6240,"Reg","Lvl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",4,"TA","PConc",4,"TA","Unf","Unf",816,816,"GasA","TA","Y","SBrkr",816,0,360,1176,0,0,1,0,3,1,4,6,"Typ",1,"Detchd",2,528,"TA","Y",9,2006,114500
90,"RM",8472,"IR2","Bnk","IDOTRR","RRNn","Norm","Duplex","1Story",5,5,1963,1963,"Gable","CompShg","Wd Sdng","Wd Sdng","None",2,"TA","CBlock",3,"TA","LwQ","GLQ",0,816,"GasA","TA","N","SBrkr",816,0,0,816,1,0,1,0,2,1,4,5,"Typ",0,"CarPort",2,516,"TA","Y",5,2010,110000
20,"RL",50271,"IR1","Low","Veenker","Norm","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShngl","WdShing","Wd Shng","None",3,"TA","CBlock",1,"TA","GLQ","Unf",32,1842,"GasA","Gd","Y","SBrkr",1842,0,0,1842,2,0,0,1,0,1,3,5,"Typ",1,"Attchd",3,894,"TA","Y",11,2006,385000
80,"RL",7134,"Reg","Bnk","NAmes","Norm","Norm","1Fam","SLvl",5,5,1955,1955,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","CBlock",4,"TA","ALQ","Unf",0,384,"GasA","TA","Y","SBrkr",1360,0,0,1360,0,0,1,0,3,1,4,6,"Min1",1,"Detchd",2,572,"TA","Y",2,2007,130000
20,"RL",10175,"IR1","Lvl","NAmes","Norm","Norm","1Fam","1Story",6,5,1964,1964,"Gable","CompShg","HdBoard","Plywood","BrkFace",4,"TA","CBlock",4,"TA","BLQ","Unf",935,1425,"GasA","Gd","Y","SBrkr",1425,0,0,1425,0,0,2,0,3,1,4,7,"Typ",1,"Attchd",2,576,"TA","Y",7,2008,180500
160,"FV",2645,"Reg","Lvl","Somerst","Norm","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",3,"TA","PConc",3,"TA","GLQ","Unf",321,970,"GasA","Ex","Y","SBrkr",983,756,0,1739,1,0,2,1,3,1,3,7,"Typ",0,"Attchd",2,480,"TA","Y",8,2009,172500
60,"RL",11645,"IR1","Lvl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",3,"TA","PConc",3,"TA","Unf","Unf",860,860,"GasA","Ex","Y","SBrkr",860,860,0,1720,0,0,2,1,3,1,3,7,"Typ",0,"Attchd",2,565,"TA","Y",8,2006,196500
60,"RL",13682,"IR2","HLS","StoneBr","Norm","Norm","1Fam","2Story",10,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1,"TA","PConc",1,"TA","Unf","Unf",1410,1410,"GasA","Ex","Y","SBrkr",1426,1519,0,2945,0,0,3,1,3,1,3,10,"Typ",1,"BuiltIn",3,641,"TA","Y",10,2006,438780
20,"RL",7200,"Reg","Bnk","CollgCr","Norm","Norm","1Fam","1Story",5,7,1972,1972,"Gable","CompShg","HdBoard","HdBoard","None",4,"TA","CBlock",4,"TA","ALQ","Unf",148,780,"GasA","Ex","Y","SBrkr",780,0,0,780,0,0,1,0,2,1,4,4,"Typ",0,"Detchd",1,352,"TA","Y",1,2008,124900
20,"RL",13072,"Reg","Lvl","SawyerW","RRAe","Norm","1Fam","1Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","PConc",3,"TA","ALQ","Unf",217,1158,"GasA","Ex","Y","SBrkr",1158,0,0,1158,1,0,1,1,3,1,3,5,"Typ",0,"Detchd",2,576,"TA","Y",5,2006,158000
75,"RM",7200,"Reg","Lvl","IDOTRR","Norm","Norm","1Fam","2.5Unf",5,7,1920,1996,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","BrkTil",4,"Fa","Unf","Unf",530,530,"GasA","TA","N","SBrkr",581,530,0,1111,0,0,1,0,3,1,2,6,"Typ",0,"Detchd",1,288,"TA","N",3,2007,101000
120,"RL",6442,"IR1","Lvl","NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",3,"TA","PConc",3,"Gd","GLQ","Unf",1346,1370,"GasA","Ex","Y","SBrkr",1370,0,0,1370,0,0,2,0,2,1,3,6,"Typ",1,"Attchd",2,484,"TA","Y",10,2007,202500
70,"RM",10300,"IR1","Bnk","OldTown","RRAn","Feedr","1Fam","2Story",7,6,1921,1950,"Gable","CompShg","Stucco","Stucco","None",4,"TA","BrkTil",4,"TA","Unf","Unf",576,576,"GasA","Gd","Y","SBrkr",902,808,0,1710,0,0,2,0,3,1,4,9,"Typ",0,"Detchd",2,480,"TA","Y",4,2010,140000
60,"RL",9375,"Reg","Lvl","CollgCr","Norm","Norm","1Fam","2Story",7,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",4,"TA","PConc",3,"TA","GLQ","Unf",318,1057,"GasA","Ex","Y","SBrkr",1057,977,0,2034,1,0,2,1,3,1,3,8,"Typ",0,"Attchd",2,645,"TA","Y",2,2009,219500
60,"RL",9591,"Reg","Lvl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",1,"TA","Unf","Unf",1143,1143,"GasA","Ex","Y","SBrkr",1143,1330,0,2473,0,0,2,1,4,1,3,9,"Typ",1,"BuiltIn",3,852,"TA","Y",10,2007,317000
20,"RL",19900,"Reg","Lvl","NAmes","PosA","Norm","1Fam","1Story",7,5,1970,1989,"Gable","CompShg","Plywood","Plywood","BrkFace",4,"TA","CBlock",3,"TA","GLQ","Unf",1035,1947,"GasA","TA","Y","SBrkr",2207,0,0,2207,1,0,2,0,3,1,4,7,"Min1",1,"Attchd",2,576,"TA","Y",7,2010,180000
20,"RL",10665,"IR1","Lvl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",3,"TA","GLQ","Unf",440,1453,"GasA","Ex","Y","SBrkr",1479,0,0,1479,1,0,2,0,3,1,3,7,"Typ",0,"Attchd",2,558,"TA","Y",6,2007,226000
30,"RM",4608,"Reg","Lvl","OldTown","Artery","Norm","1Fam","1Story",4,6,1945,1950,"Gable","CompShg","MetalSd","MetalSd","None",4,"Gd","CBlock",4,"TA","Unf","Unf",747,747,"GasA","TA","Y","SBrkr",747,0,0,747,0,0,1,0,2,1,4,4,"Typ",0,"Attchd",1,220,"TA","Y",6,2010,80000
50,"RL",15593,"Reg","Lvl","ClearCr","Norm","Norm","1Fam","1.5Fin",7,4,1953,1953,"Gable","CompShg","BrkFace","AsbShng","None",3,"TA","CBlock",4,"TA","BLQ","Unf",701,1304,"GasW","TA","Y","SBrkr",1304,983,0,2287,0,0,2,0,3,1,4,7,"Typ",1,"Attchd",2,667,"TA","Y",7,2006,225000
20,"RL",13651,"IR1","Lvl","NAmes","Norm","Norm","1Fam","1Story",7,6,1973,1973,"Gable","CompShg","Plywood","Plywood","BrkFace",4,"Gd","CBlock",3,"TA","ALQ","Unf",343,2223,"GasA","Ex","Y","SBrkr",2223,0,0,2223,1,0,2,0,3,1,4,8,"Typ",2,"Attchd",2,516,"TA","Y",2,2007,244000
20,"RL",7599,"Reg","Lvl","Mitchel","Norm","Norm","1Fam","1Story",4,6,1982,2006,"Gable","CompShg","HdBoard","Plywood","None",4,"TA","CBlock",4,"TA","ALQ","Unf",280,845,"GasA","TA","Y","SBrkr",845,0,0,845,1,0,1,0,2,1,4,4,"Typ",0,"Detchd",2,360,"TA","Y",6,2007,129500
